Month of Year,Date Range,Segment,Users,Page Views,Sessions,Avg. Session Duration,Pages/Session,Bounce Rate
201501,01-Jan-2015 - 31-Jul-2020,All Users,40748,218629,46589,139.32,4.69,46.81%
201501,01-Jan-2015 - 31-Jul-2020,New Users,40463,172619,40487,112.61,4.26,48.34%
201501,01-Jan-2015 - 31-Jul-2020,Returning Users,3606,46010,6102,316.5,7.54,36.63%
201502,01-Jan-2015 - 31-Jul-2020,All Users,31938,135909,36539,142.01,3.72,50.17%
201502,01-Jan-2015 - 31-Jul-2020,New Users,30518,104077,30526,115.12,3.41,52.35%
201502,01-Jan-2015 - 31-Jul-2020,Returning Users,3785,31832,6012,278.62,5.29,39.07%
201503,01-Jan-2015 - 31-Jul-2020,All Users,48310,446565,60294,157.71,7.41,45.84%
201503,01-Jan-2015 - 31-Jul-2020,New Users,45896,300574,45953,129.17,6.54,47.27%
201503,01-Jan-2015 - 31-Jul-2020,Returning Users,7709,145992,14341,249.18,10.18,41.24%
201504,01-Jan-2015 - 31-Jul-2020,All Users,55865,437714,67612,145.51,6.47,46.56%
201504,01-Jan-2015 - 31-Jul-2020,New Users,53433,308544,53956,124.02,5.72,48.02%
201504,01-Jan-2015 - 31-Jul-2020,Returning Users,7554,129170,13656,230.43,9.46,40.80%
201505,01-Jan-2015 - 31-Jul-2020,All Users,48310,446565,60294,157.71,7.41,45.84%
201505,01-Jan-2015 - 31-Jul-2020,New Users,45896,300574,45953,129.17,6.54,47.27%
201505,01-Jan-2015 - 31-Jul-2020,Returning Users,7709,145992,14341,249.18,10.18,41.24%
201506,01-Jan-2015 - 31-Jul-2020,All Users,48310,436565,62201,157.71,7.02,45.84%
201506,01-Jan-2015 - 31-Jul-2020,New Users,42085,295534,48125,129.93,6.14,45.63%
201506,01-Jan-2015 - 31-Jul-2020,Returning Users,3883,59429,6151,234.57,9.66,36.87%
201507,01-Jan-2015 - 31-Jul-2020,All Users,55865,437714,67612,145.51,6.47,46.56%
201507,01-Jan-2015 - 31-Jul-2020,New Users,53433,308544,53956,124.02,5.72,48.02%
201507,01-Jan-2015 - 31-Jul-2020,Returning Users,7554,129170,13656,230.43,9.46,40.80%
201508,01-Jan-2015 - 31-Jul-2020,All Users,48310,446565,60294,157.71,7.41,45.84%
201508,01-Jan-2015 - 31-Jul-2020,New Users,45896,300574,45953,129.17,6.54,47.27%
201508,01-Jan-2015 - 31-Jul-2020,Returning Users,7709,145992,14341,249.18,10.18,41.24%
201509,01-Jan-2015 - 31-Jul-2020,All Users,56011,454544,67840,140.54,6.7,45.50%
201509,01-Jan-2015 - 31-Jul-2020,New Users,52911,313952,52381,117.43,5.99,47.45%
201509,01-Jan-2015 - 31-Jul-2020,Returning Users,8778,140591,15459,218.85,9.09,38.89%
201510,01-Jan-2015 - 31-Jul-2020,All Users,57790,476407,70402,144.91,6.77,47.53%
201510,01-Jan-2015 - 31-Jul-2020,New Users,54168,316726,54396,118.21,5.82,50.15%
201510,01-Jan-2015 - 31-Jul-2020,Returning Users,9324,159681,16006,235.64,9.98,38.64%
201511,01-Jan-2015 - 31-Jul-2020,All Users,48253,424180,59079,150.36,7.18,46.15%
201511,01-Jan-2015 - 31-Jul-2020,New Users,44966,277528,44998,122.15,6.17,48.37%
201511,01-Jan-2015 - 31-Jul-2020,Returning Users,8199,146653,14080,240.53,10.42,39.05%
201512,01-Jan-2015 - 31-Jul-2020,All Users,55245,496736,67546,180.02,7.35,44.94%
201512,01-Jan-2015 - 31-Jul-2020,New Users,51622,338613,51892,154.4,6.53,46.71%
201512,01-Jan-2015 - 31-Jul-2020,Returning Users,9194,158122,15655,264.95,10.1,39.08%
201601,01-Jan-2015 - 31-Jul-2020,All Users,50399,386442,60147,152.38,6.42,47.06%
201601,01-Jan-2015 - 31-Jul-2020,New Users,47348,283491,47397,139.23,5.98,47.97%
201601,01-Jan-2015 - 31-Jul-2020,Returning Users,7750,102951,12751,201.27,8.07,43.70%
201602,01-Jan-2015 - 31-Jul-2020,All Users,52659,404471,64797,152.84,6.24,48.70%
201602,01-Jan-2015 - 31-Jul-2020,New Users,49053,282219,49094,129.79,5.75,50.58%
201602,01-Jan-2015 - 31-Jul-2020,Returning Users,9112,122253,15704,224.9,7.78,42.80%
201603,01-Jan-2015 - 31-Jul-2020,All Users,82443,507626,95821,128.34,5.3,48.60%
